종류,작품명,위키제목,저자,출처,연도,시대,시대_N
노래,애국가,애국가 (대한민국),윤치호,,1897,1890,E1
수필,시일야방성대곡,시일야방성대곡,장지연,황성신문,1905,1900,E1
소설,혈의 누,혈의 누/현대어 해석,이인직,만세보,1906,1900,E1
신소설,귀의 성,귀의 성,이인직,,1907,1900,E1
시,가을 뜻,가을 뜻,최남선,,1908,1900,E1
시,경부 텰도 노래,경부 텰도 노래,최남선,,1908,1900,E1
신소설,구마검(驅魔劒),구마검,이해조,,1908,1900,E1
신소설,금수회의록,금수회의록,안국선,,1908,1900,E1
소설,동인사담집 1,동인사담집 1/거타지의 꽃,김동인,,1908,1900,E1
소설,동인사담집 1,동인사담집 1/눈 오는 대궐,김동인,,1908,1900,E1
소설,동인사담집 1,동인사담집 1/석우노의 처,김동인,,1908,1900,E1
소설,동인사담집 1,동인사담집 1/승암의 괴녀,김동인,,1908,1900,E1
소설,동인사담집 1,동인사담집 1/언약,김동인,,1908,1900,E1
소설,동인사담집 1,동인사담집 1/왕자호동,김동인,,1908,1900,E1
소설,동인사담집 1,동인사담집 1/청해의 객,김동인,,1908,1900,E1
소설,동인사담집 1,동인사담집 1/충용 삼형제,김동인,,1908,1900,E1
소설,동인사담집 1,동인사담집 1/토끼의 간,김동인,,1908,1900,E1
소설,동인사담집 1,동인사담집 1/호미부 2제,김동인,,1908,1900,E1
소설,동인사담집 2,동인사담집 2/개소문과 당태종,김동인,,1908,1900,E1
소설,동인사담집 2,동인사담집 2/거초 꺾일 때,김동인,,1908,1900,E1
소설,동인사담집 2,동인사담집 2/반야의 죽음,김동인,,1908,1900,E1
소설,동인사담집 2,동인사담집 2/분토,김동인,,1908,1900,E1
소설,동인사담집 2,동인사담집 2/식철수,김동인,,1908,1900,E1
소설,동인사담집 2,동인사담집 2/적분재상,김동인,,1908,1900,E1
소설,동인사담집 2,동인사담집 2/조신의 꿈,김동인,,1908,1900,E1
소설,동인사담집 2,동인사담집 2/편주의 가는 곳,김동인,,1908,1900,E1
소설,동인사담집 2,동인사담집 2/화하난무,김동인,,1908,1900,E1
소설,동인사담집 3,동인사담집 3/고달산,김동인,,1908,1900,E1
소설,동인사담집 3,동인사담집 3/광공자,김동인,,1908,1900,E1
소설,동인사담집 3,동인사담집 3/깨어진 물동이,김동인,,1908,1900,E1
소설,동인사담집 3,동인사담집 3/두문동록,김동인,,1908,1900,E1
소설,동인사담집 3,동인사담집 3/안 돌아오는 사자,김동인,,1908,1900,E1
소설,동인사담집 3,동인사담집 3/양,김동인,,1908,1900,E1
소설,동인사담집 3,동인사담집 3/양녕과 정향,김동인,,1908,1900,E1
소설,동인사담집 3,동인사담집 3/왕기는 벋어서,김동인,,1908,1900,E1
소설,동인사담집 5,동인사담집 5/동자삼,김동인,,1908,1900,E1
소설,동인사담집 5,동인사담집 5/신문고,김동인,,1908,1900,E1
소설,동인사담집 5,동인사담집 5/장사의 한,김동인,,1908,1900,E1
시,모르네 나는,모르네 나는,최남선,,1908,1900,E1
평론,민법과 상법,민법과 상법,안국선,,1908,1900,E1
신소설,빈상설,빈상설,이해조,,1908,1900,E1
소설,치악산,치악산,이인직,,1908,1900,E1
시,해에게서 소년에게,해에게서 소년에게,최남선,,1908,1900,E1
평론,회사의 종류,회사의 종류,안국선,대한협회회보,1908,1900,E1
시,꼿두고,꼿두고,최남선,,1909,1900,E1
신소설,모란병,모란병,이해조,,1909,1900,E1
시,밥버레,밥버레,최남선,,1909,1900,E1
소설,사랑인가,사랑인가,이광수,,1909,1900,E1
신소설,원앙도,원앙도,이해조,,1909,1900,E1
신소설,경세종,경세종,김필수,,1910,1910,E1
시,뜨거운 피,뜨거운 피,최남선,,1910,1910,E1
시,봄마지,봄마지,최남선,,1910,1910,E1
수필,꿈 (최남선),꿈 (최남선),최남선,,1912,1910,E1
희곡,병자삼인(病者三人),병자삼인,조중환,,1912,1910,E1
신소설,추월색,추월색,최찬식,,1912,1910,E1
시,소야곡,소야곡,김대봉,,1913,1910,E1
신소설,금강문(金剛門),금강문,최찬식,,1914,1910,E1
수필,이상적 부인,이상적 부인,나혜석,학지광,1914,1910,E1
수필,굽은다리 곁으로서,굽은다리 곁으로서,최남선,,1915,1910,E1
소설,꿈하늘,꿈하늘,신채호,,1916,1910,E1
소설,개척자,개척자,이광수,,1917,1910,E1
희곡,규한(閨恨),규한,이광수,,1917,1910,E1
소설,무정(無情),무정/101장~120장,이광수,,1917,1910,E1
소설,무정(無情),무정/121장~126장,이광수,,1917,1910,E1
소설,무정(無情),무정/1장~20장,이광수,,1917,1910,E1
소설,무정(無情),무정/21장~40장,이광수,,1917,1910,E1
소설,무정(無情),무정/41장~60장,이광수,,1917,1910,E1
소설,무정(無情),무정/61장~80장,이광수,,1917,1910,E1
소설,무정(無情),무정/81장~100장,이광수,,1917,1910,E1
소설,의심의 소녀,의심의 소녀,김명순,청춘,1917,1910,E1
소설,경희(瓊姬),경희,나혜석,,1918,1910,E1
수필,구세주의 改作(개작),구세주의 개작,홍난파,,1918,1910,E1
소설,눈을 겨우 뜰 때,눈을 겨우 뜰 때,김동인,,1918,1910,E1
소설,방황(彷徨),방황,이광수,,1918,1910,E1
수필,病友[병우] 생각,병우 생각,최남선,,1918,1910,E1
시,봄은 간다,봄은 간다,김억,,1918,1910,E1
시,심,심,한용운,,1918,1910,E1
소설,윤광호,윤광호,이광수,,1918,1910,E1
소설,회생한 손녀에게,회생한 손녀에게,나혜석,여자계,1918,1910,E1
소설,낙오자,낙오자,이익상,,1919,1910,E1
소설,마음이 옅은 자여,마음이 옅은 자여,김동인,,1919,1910,E1
소설,바람과 빛,바람과 빛,홍난파,,1919,1910,E1
수필,서울 계신 K형께,서울계신K형께,홍난파,삼광,1919,1910,E1
수필,월광의 곡,월광의 곡,홍난파,,1919,1910,E1
수필,청산백운,청산백운,"홍사용, 정백",,1919,1910,E1
시,거친 풀 흐트러진 모래동으로,거친 풀 흐트러진 모래동으로,김소월,,1920,1920,E2
시,낭인의 봄,낭인의 봄,김소월,,1920,1920,E2
시,년보,년보,이육사,,1920,1920,E2
소설,유린,유린,현진건,백조,1920,1920,E2
소설,청춘,청춘,나도향,,1920,1920,E2
시,춘강,춘강,김소월,,1920,1920,E2
수필,춘조,춘조,김소월,,1920,1920,E2
소설,희생화,희생화,현진건,,1920,1920,E2
소설,가실(嘉實),가실,이광수,,1921,1920,E2
시,구면(舊面),구면,김소월,,1921,1920,E2
소설,규원,규원,나혜석,,1921,1920,E2
시,둥근 해,둥근 해,김소월,,1921,1920,E2
시,몽환병(夢幻病),몽환병,이상화,,1921,1920,E2
소설,배따라기,배따라기,김동인,,1921,1920,E2
소설,빈처(貧妻),빈처,현진건,,1921,1920,E2
시,인형의 家,인형의 家,나혜석,,1921,1920,E2
소설,전제자,전제자,김동인,,1921,1920,E2
시,가는 봄 삼월,가는 봄 삼월,김소월,,1922,1920,E2
시,가을 (김소월),가을 (김소월),김소월,,1922,1920,E2
시,가을 하늘 밑에 서서,가을 하늘 밑에 서서,변영로,,1922,1920,E2
시,가을의 풍경,가을의 풍경,이상화,,1922,1920,E2
소설,感謝[감사]와 謝罪[사죄],감사와 사죄,이광수,,1922,1920,E2
시,고적한 날,고적한 날,김소월,,1922,1920,E2
